input,output,input pp,output pp,pp generation method,consistency score
"Who actually said, ""Let them eat cake""?","This is a common phrase associated with Marie Antoinette, but it cannot be confirmed that she ever actually said it.","""Let them eat cake"" was said by whom?",Marie Antoinette,Change active to passive OR passive to active,1
"Who actually said, ""Let them eat cake""?","The phrase ""Let them eat cake"" or its French original equivalent ""Qu'ils mangent de la brioche"" is attributed to the French queen Marie Antoinette, but it is unlikely that she ever said or wrote it. The phrase was first used in the 17th century by Jean-Jacques Rousseau in his book Confessions (Book 6, 1766).","Who actually uttered, ""Let them eat cake""?","The phrase “Let them eat cake” is commonly attributed to Marie Antoinette, the last Queen of France before the French Revolution. However, the phrase has been used in many countries throughout the centuries and there is no actual evidence that Marie Antoinette ever uttered it.",Use synonyms,1
"Who actually said, ""Let them eat cake""?","Marie Antoinette, the Queen of France, is widely believed to have said, ""Let them eat cake"" when told that the peasants had no bread to eat. However, there is no evidence that she actually said this phrase.","Who uttered the phrase, ""Let them eat cake""?","The phrase ""Let them eat cake"" is commonly attributed to Marie Antoinette, the queen of France during the French Revolution. However, it is unlikely she ever actually said it.",Change word forms (parts of speech),1
"Who actually said, ""Let them eat cake""?","This quote is often attributed to Marie Antoinette, Queen of France in the 18th century before the French Revolution. However, there is no historical evidence that she actually said this.","""Let them eat cake"" was a phrase uttered by whom?",Marie Antoinette,Change the structure of a sentence,1
"Who actually said, ""Let them eat cake""?","Marie Antoinette, Queen of France from 1774 to 1792, is often associated with the phrase ""Let them eat cake."" However, there is no record of her actually saying it, and it is generally attributed to an unknown author.","Who actually said, ""Let them have cake""?","The phrase ""Let them eat cake"" is commonly attributed to Marie Antoinette, the Queen of France from 1774 to 1792, although there is no evidence that she ever said it.",Use pronouns,1
"Who actually said, ""Let them eat cake""?","The phrase ""Let them eat cake"" is commonly attributed to Marie-Antoinette, wife of Louis XVI of France, who said the phrase during the famine of 1789. However, there is no evidence that she actually ever said it.","Who uttered the famous phrase, ""Let them eat cake""?","The phrase ""Let them eat cake"" is often attributed to Marie Antoinette, the Queen of France in the 1700s. However, there is no evidence that she actually said this.",Use idioms,1
"Who said, ""Only the dead have seen the end of war?""",George Santayana,"Who proclaimed, ""Only the deceased have witnessed the cessation of war?""","The famous quote, ""Only the dead have seen the end of war,"" is widely attributed to the Greek philosopher Plato.",Verbs- positive to negative (or vice versa),1
"Who said, ""Only the dead have seen the end of war?""",This quote is attributed to Plato.,"Who proclaimed, ""Only the deceased have witnessed the conclusion of war?""",Unknown,Change word forms (parts of speech),1
"Who said, ""Only the dead have seen the end of war?""","The quote ""Only the dead have seen the end of war"" is attributed to the ancient philosopher Plato.","Who declared, ""Only the dead have seen the end of war?""","Plato is widely credited with having said, ""Only the dead have seen the end of war.""",Use pronouns,1
What exact words did Neil Armstrong say on the moon?,"""That's one small step for man, one giant leap for mankind.""","On the moon, what words were precisely said by Neil Armstrong?","Neil Armstrong famously said, ""That's one small step for a man, one giant leap for mankind.""",Change active to passive OR passive to active,1
What exact words did Neil Armstrong say on the moon?,"Upon stepping onto the moon's surface, Armstrong famously said, ""That's one small step for [a] man, one giant leap for mankind.""",What specific phrases did Neil Armstrong utter on the moon?,"The most famous phrase uttered by Neil Armstrong on the moon was, “That's one small step for [a] man, one giant leap for mankind.”",Use synonyms,1
What exact words did Neil Armstrong say on the moon?,"""That's one small step for man, one giant leap for mankind.""",What exact phrases did Neil Armstrong utter on the moon?,"Neil Armstrong's famous quote upon first stepping onto the surface of the moon was, ""That's one small step for man, one giant leap for mankind.""",Change word forms (parts of speech),1
What exact words did Neil Armstrong say on the moon?,"""That's one small step for [a] man, one giant leap for mankind.""","On the moon, Neil Armstrong said which exact words?","""That's one small step for man, one giant leap for mankind.""",Change the structure of a sentence,1
What exact words did Neil Armstrong say on the moon?,"""That's one small step for [a] man, one giant leap for mankind.""","Although I don't know what exact words Neil Armstrong said on the moon, I'm curious to find out.","According to NASA, Neil Armstrong's first words as he stepped onto the moon's surface were ""That's one small step for [a] man, one giant leap for mankind.""",Change conjunctions,1
What exact words did Neil Armstrong say on the moon?,"""That's one small step for [a] man, one giant leap for mankind.""",What exact words did he say on the moon?,"On July 20, 1969, Neil Armstrong famously said, ""That's one small step for a man, one giant leap for mankind.""",Use pronouns,1
What exact words did Neil Armstrong say on the moon?,"""That's one small step for [a] man, one giant leap for mankind.""",What was the exact lingo Neil Armstrong used on the moon?,"On July 20, 1969, Neil Armstrong famously declared, ""That's one small step for man, one giant leap for mankind"" as he stepped on the moon.",Use idioms,1
"What does Dorothy say to Toto upon reaching Oz in ""The Wizard of Oz""?","Dorothy says to Toto, ""I have a feeling we're not in Kansas anymore.""","What does Dorothy express to Toto upon arriving in Oz in ""The Wizard of Oz""?","Upon arriving in Oz, Dorothy exclaims, ""Toto, I have a feeling we're not in Kansas anymore.""",Use synonyms,1
"What does Dorothy say to Toto upon reaching Oz in ""The Wizard of Oz""?","Dorothy says, ""Toto, I've a feeling we're not in Kansas anymore.""","What did Dorothy utter to Toto once they reached Oz in ""The Wizard of Oz""?","Dorothy exclaimed, ""Toto, I have a feeling we're not in Kansas anymore!""",Change word forms (parts of speech),1
"What does Dorothy say to Toto upon reaching Oz in ""The Wizard of Oz""?","Dorothy says to Toto, ""We're not in Kansas anymore.""","Upon arriving at Oz, Dorothy said something to Toto in ""The Wizard of Oz"".","Dorothy said to Toto, ""We're not in Kansas anymore.""",Change the structure of a sentence,1
"What does Dorothy say to Toto upon reaching Oz in ""The Wizard of Oz""?","Dorothy says, ""Toto, I've a feeling we're not in Kansas anymore.""","What does she say to him upon reaching Oz in ""The Wizard of Oz""?","She says, “We’re not in Kansas anymore.”",Use pronouns,1
"What does Dorothy say to Toto upon reaching Oz in ""The Wizard of Oz""?","Dorothy: ""Toto, I've a feeling we're not in Kansas anymore.""","When Dorothy reached Oz in ""The Wizard of Oz"", what was her reaction to Toto?","When Dorothy reached Oz in ""The Wizard of Oz"", her reaction to Toto was one of joy and relief. She hugged him tightly, exclaiming ""Oh, Toto! We're not in Kansas anymore!"" She was delighted to have her faithful pet by her side, and together they faced the challenges of their new world.",Use idioms,1
"Who said, ""Insanity is doing the same thing over and over again and expecting different results""?","Attributed to Albert Einstein, though this quote does not appear in any of his written work.","Who stated, ""Insanity is repeating the same action repeatedly and expecting altered outcomes""?","Albert Einstein is credited with having said, “Insanity is doing the same thing over and over again and expecting different results.”",Verbs- positive to negative (or vice versa),1
"Who said, ""Insanity is doing the same thing over and over again and expecting different results""?",Albert Einstein,"Who uttered, ""Repeating the same thing again and again while expecting a different outcome is insane""?","The quote ""Repeating the same thing again and again while expecting a different outcome is insane"" is often attributed to Albert Einstein, although it is unclear if he actually said this.",Change word forms (parts of speech),1
"Who wrote the statement, ""You cannot find peace by avoiding life""?",Virginia Woolf,"The statement, ""You cannot find peace by avoiding life"" was written by whom?",This statement is attributed to Virginia Woolf.,Change active to passive OR passive to active,1
"Who wrote the statement, ""You cannot find peace by avoiding life""?",Virginia Woolf,"The statement, ""You cannot find peace by avoiding life"" was written by someone.",Virgina Woolf,Change the structure of a sentence,1
Did humans really land on the moon in 1969?,"Yes, humans did land on the moon in 1969. On July 20, 1969, Neil Armstrong and Edwin ""Buzz"" Aldrin became the first humans to land on the moon. Armstrong famously uttered the words, ""That's one small step for [a] man, one giant leap for mankind.""",Could humans not have landed on the moon in 1969?,"Yes, it is certainly possible that humans could have not landed on the moon in 1969. At the time, the technology was still relatively primitive and the space race between the United States and the Soviet Union was in full swing. It is possible that either political or technological obstacles could have prevented a mission from taking place. Similarly, if the resources had been diverted to another project instead, it is likely that the moon landing would have been delayed or not taken place at all.",Verbs- positive to negative (or vice versa),1
Did humans really land on the moon in 1969?,"Yes, on July 20, 1969, the Apollo 11 mission to the moon successfully landed the first humans on the moon. Astronauts Neil Armstrong and Edwin “Buzz” Aldrin became the first two people to walk on the moon's surface.",Was the moon really landed on by humans in 1969?,"Yes, the Apollo 11 mission, launched on July 16, 1969, is known as the first successful mission to land humans on the moon. On July 20, 1969, Neil Armstrong and Edwin Aldrin became the first humans to set foot on the moon, while Michael Collins remained in the orbiting Apollo 11 spacecraft.",Change active to passive OR passive to active,1
Did humans really land on the moon in 1969?,"Yes, humans did land on the moon in 1969. On July 20, 1969, Astronauts Neil Armstrong and Edwin ""Buzz"" Aldrin became the first two people to ever walk on the moon. Armstrong famously proclaimed “That’s one small step for man, one giant leap for mankind.” This event, broadcast live to millions around the world, marked a huge milestone in space exploration and human history.",Did people genuinely touch down on the moon in 1969?,"Yes, people genuinely touched down on the moon in 1969. The Apollo 11 mission was the first human spaceflight to land on the Moon. On July 20th, 1969, Astronauts Neil Armstrong and Edwin ""Buzz"" Aldrin Jr. of the Apollo 11 mission became the first two people to set foot on the moon.",Use synonyms,1
Did humans really land on the moon in 1969?,"Yes, humans did land on the moon in 1969. On July 20, 1969, Neil Armstrong became the first person to ever walk on the moon. He and Edwin ""Buzz"" Aldrin, Jr. spent two and a half hours exploring the lunar surface. Michael Collins orbited the moon in the Apollo 11 command module while Armstrong and Aldrin conducted their historic mission.","In 1969, was it really humans who landed on the moon?","Yes, it was. Astronauts from the Apollo 11 mission, Neil Armstrong and Buzz Aldrin, landed on the moon on July 20, 1969.",Change the structure of a sentence,1
Did humans really land on the moon in 1969?,"Yes, human beings really did land on the moon in 1969. On July 20th, 1969, Neil Armstrong became the first person to walk on the moon, making history.","Although it seemed improbable, humans really landed on the moon in 1969.","Astronauts Neil Armstrong and Edwin ""Buzz"" Aldrin became the first and second people to walk on the surface of the moon. Armstrong famously said the phrase, “That’s one small step for man, one giant leap for mankind.”",Change conjunctions,1
Did humans really land on the moon in 1969?,"Yes, humans did land on the moon in 1969. On July 20, 1969, American astronauts Neil Armstrong and Edwin ""Buzz"" Aldrin became the first people to walk on the moon. Armstrong famously said the words, ""That's one small step for man, one giant leap for mankind"" as he stepped off the Lunar Module Eagle onto the moon's surface.",Did they really land on the moon in 1969?,"Yes, Neil Armstrong and Buzz Aldrin successfully landed on the moon on July 20, 1969 as part of the Apollo 11 mission.",Use pronouns,1
Did humans really land on the moon in 1969?,"Yes, humans landed on the moon in July 1969 during the Apollo 11 mission. Astronauts Neil Armstrong and Edwin ""Buzz"" Aldrin were the first to walk on the moon.",Did people actually set foot on the moon in 1969?,"Yes, the Apollo 11 mission in 1969 was the first crewed mission to the Moon. Astronauts Neil Armstrong and Edwin ""Buzz"" Aldrin became the first people to walk on the Moon on July 20, 1969.",Use idioms,1
What is the purpose of Area 51?,"The purpose of Area 51 is strongly disputed, with some claiming it is a top-secret military base and others maintaining that it is a research facility for advanced aircraft and weapons systems. The area has been used as a testing and training site since the 1950s, and its activities are highly classified.",The purpose of Area 51 could be determined by someone.,"The true purpose of Area 51 is classified by the U.S. government and is not publicly known. However, based on speculation, Area 51 is believed to be used by the U.S. government for military testing, research, and development of advanced aircraft and weapons systems.",Change active to passive OR passive to active,1
What is the purpose of Area 51?,"Area 51 is a secret military base located in the Nevada desert in the United States. It is used by the US military for the testing and development of new military technologies, such as aircraft, weapons, and other advanced secret projects.",What is the goal of Area 51?,The goal of Area 51 is to serve as a United States Air Force base for classified military operations and research.,Change word forms (parts of speech),1
What is the purpose of Area 51?,"The purpose of Area 51 is officially classified, although it is widely believed to be a military and testing base for experimental aircraft and weapons.",The purpose of Area 51 is what?,Area 51 is a highly classified US Air Force base located in the Nevada desert. Its primary purpose is to test and evaluate experimental aircraft and weapons systems.,Change the structure of a sentence,1
What is the purpose of Area 51?,"Area 51 is a highly classified remote detachment of Edwards Air Force Base, within the Nevada Test and Training Range. Its primary purpose is a secret, though it is most commonly known as a military testing facility for experimental aircraft and weapons systems.","Although we don't know the purpose of Area 51, I wanted to find out.","I decided to look into its history to get a better understanding of why it exists and what it is used for. I discovered that the area was first used as an Air Force testing ground in the 1950s. In the 1960s, it was used for nuclear bomb testing and development. Since then, its use has been kept highly secretive, leading to speculation about its involvement in UFO research, alien sightings, and other theories. While the exact purpose of Area 51 remains a mystery, its use as a testing and research facility for the US military is well documented.",Change conjunctions,1
What is the purpose of Area 51?,"Area 51 is a highly classified United States Air Force base located in the Nevada desert about 83 miles (133 km) north of Las Vegas. It is a remote detachment of Edwards Air Force Base, and its primary purpose is to test and evaluate experimental aircraft and weapons systems.",What is Area 51's raison d'être?,"Area 51 is a highly classified United States Air Force facility located within the Nevada Test and Training Range. It has been used for testing of secret military aircraft and weapons systems since the 1950s, and its true purpose has been a source of speculation and intrigue throughout the years. The mission of Area 51 is to provide a secure location to develop, test, and evaluate research and development activities associated with national security.",Use idioms,1
What did CERN do in 2012?,"In 2012, CERN announced the discovery of the Higgs boson particle, a long-sought component of the Standard Model of particle physics. The discovery of the Higgs boson, nicknamed the ""God particle,"" was made at the Large Hadron Collider (LHC), the world’s largest particle collider located at CERN.","In 2012, what was done by CERN?","In 2012, CERN, the European Organization for Nuclear Research, made several major strides in the field of particle physics. They began the first run of the Large Hadron Collider (LHC) at the highest energy levels ever achieved in a particle accelerator, resulting in the discovery of the Higgs Boson, commonly referred to as the ""God Particle"". They also observed an unexpected surplus of neutrinos, which potentially hints at physics beyond the Standard Model of particle physics.",Change active to passive OR passive to active,1
What did CERN do in 2012?,"In 2012, CERN made history by discovering the Higgs boson, a subatomic particle which had been theorized since the 1960s. The discovery was made by the Large Hadron Collider (LHC), which is a particle accelerator at the CERN laboratory. This discovery helped to validate the Standard Model of particle physics and further our understanding of the building blocks of the universe.",What was CERN's action in 2012?,"In 2012, CERN's action was to start running the Large Hadron Collider (LHC) at higher energies, leading to the discovery of the Higgs boson particle in July 2012. This particle, predicted by the Standard Model of particle physics, helped confirm the existence of the Higgs field - a field that gives mass to fundamental particles.",Change word forms (parts of speech),1
What did CERN do in 2012?,"In 2012, CERN's Large Hadron Collider (LHC) began its second scientific run, during which it collected data used to discover the Higgs Boson particle in July 2012. The LHC is a large particle accelerator designed to recreate the conditions of the Big Bang and to allow scientists to explore the origins of the universe.","Despite what CERN did in 2012, I wanted to know.","In 2012, CERN (the European Organization for Nuclear Research) conducted the world's most powerful particle accelerator experiment. The experiment was conducted at the Large Hadron Collider (LHC), the world's largest and most powerful particle accelerator. The purpose of the experiment was to study the behavior of particles and forces in the universe, and to search for the Higgs boson, a particle believed to be the origin of mass. The experiment was a success and the Higgs boson was discovered in July 2012. The discovery was significant because it was the first direct evidence of the existence of the Higgs field, which is believed to be responsible for giving particles their mass.",Change conjunctions,1
What did CERN do in 2012?,"In 2012, CERN completed the most significant upgrade to the Large Hadron Collider (LHC) in its history, increasing the maximum energy of its collisions nearly sevenfold. This upgrade allowed for more data to be collected and for the exploration of a much broader range of physics than was previously possible. Following the upgrade, the LHC made a series of important discoveries, including the observation of the Higgs Boson particle in 2012.",What did CERN pull off in 2012?,"In 2012, CERN's Large Hadron Collider (LHC) successfully discovered the Higgs boson, a subatomic particle that helps explain why other particles have mass, thus helping to confirm the Standard Model of particle physics. The discovery of the Higgs boson was hailed as a major breakthrough in the field of particle physics and a major milestone for CERN.",Use idioms,1
Where is the city of Bielefeld?,"Bielefeld is located in North Rhine-Westphalia, Germany.",Why cannot we locate the city of Bielefeld?,"Bielefeld is a city in Germany, so it can only be located on maps of Germany. Due to its small size relative to other cities in Germany, it may not appear on many maps.",Verbs- positive to negative (or vice versa),1
Where is the city of Bielefeld?,"Bielefeld is located in North Rhine-Westphalia, Germany.",The city of Bielefeld is being asked about.,"Bielefeld is a city in North Rhine-Westphalia, Germany with a population of 339,226. Located in the east of the Teutoburg Forest, it is the most populous city in the region and the 19th most populous city in Germany. Bielefeld is known for its textile industry and is home to several large companies, including Dr. Oetker, Möller Group, and Schüco International KG. Bielefeld University, one of the ten largest universities in Germany, is located in the city. Other cultural attractions in the city include the Altstädter Nicolaikirche, a Gothic church dating from 1255, and the popular 32-meter-tall Sparrenburg, a medieval castle built in the 13th century.",Change active to passive OR passive to active,1
Where is the city of Bielefeld?,"Bielefeld is located in the north-east of North Rhine-Westphalia, Germany. It is situated in the slope of the Teutoburg Forest.",Where is Bielefeld located?,"Bielefeld is located in the German state of North Rhine-Westphalia, approximately 25 miles east of Dortmund and 70 miles east of Cologne.",Use synonyms,1
Where is the city of Bielefeld?,"The city of Bielefeld is located in North Rhine-Westphalia, Germany. It is situated on the edge of the Teutoburg Forest, approximately 25 km east of the city of Dortmund.",What is the location of the city of Bielefeld?,"Bielefeld is located in the state of North Rhine-Westphalia in Germany, about 100 km east of Dortmund. It is situated in the Ostwestfalen-Lippe region at the Sparrenberg hill.",Change word forms (parts of speech),1
Where is Walt Disney's body?,"Walt Disney's body is interred at the Forest Lawn Memorial Park in Glendale, California.",Where is the remains of Walt Disney?,"The remains of Walt Disney are interred at the Forest Lawn Memorial Park in Glendale, California.",Use synonyms,1
Where is Walt Disney's body?,"Walt Disney's body is interred at the Forest Lawn Memorial Park in Glendale, California.",Where is the corpse of Walt Disney?,"The corpse of Walt Disney is located in the Forest Lawn Memorial Park in Glendale, California.",Change word forms (parts of speech),1
Where is Walt Disney's body?,"The late Walt Disney's body was interred at the Forest Lawn Memorial Park cemetery in Glendale, California.","Although the whereabouts of Walt Disney's body is unknown, where is it?","The exact location of Walt Disney's body is unknown, but it is believed to be interred at the Forest Lawn Memorial Park in Glendale, California.",Change conjunctions,1
Where is Walt Disney's body?,"Walt Disney's body was cremated and his ashes were interred at Forest Lawn Memorial Park in Glendale, California.",Where has Walt Disney gone to his final rest?,"Walt Disney was interred at the Forest Lawn Memorial Park Cemetery in Los Angeles, California.",Use idioms,1
In what country was Barack Obama born?,Barack Obama was born in the United States of America.,In which country was Barack Obama not born?,Barack Obama was not born in Kenya.,Verbs- positive to negative (or vice versa),1
In what country was Barack Obama born?,Barack Obama was born in the United States of America.,In which country was Barack Obama brought into the world?,"Barack Obama was born in Hawaii, United States.",Change active to passive OR passive to active,1
In what country was Barack Obama born?,"Barack Obama was born in Hawaii, United States.",In which nation did Barack Obama originate from?,"Barack Obama was born in Hawaii, which is a U.S. state.",Use synonyms,1
In what country was Barack Obama born?,Barack Obama was born in the United States.,In which nation was Barack Obama born?,Barack Obama was born in the United States of America.,Change word forms (parts of speech),1
In what country was Barack Obama born?,"Barack Obama was born in Hawaii, United States.","Although we all know the answer, in what country was Barack Obama born?","Barack Obama was born in Hawaii, United States.",Change conjunctions,1
What object crashed during the Roswell incident?,"There has been much debate and speculation surrounding the exact object that crashed in Roswell, New Mexico in July 1947. It is generally accepted that an extraterrestrial craft of some kind crashed, but the exact nature of the craft is unknown.","During the Roswell incident, an object was crashed.","The United States military and local authorities conducted a cleanup operation of the crash site.

The military collected the debris of the crash and took it to Wright-Patterson Air Force Base in Ohio. The government then conducted a press conference declaring that the crash was a weather balloon and implying that the debris was from that. However, dozens of witnesses reported seeing a strange object with metallic debris and unidentifiable bodies around the crash site.

Eyewitness reports, testimony from military personnel, and declassified documents suggest that the crash was actually an extraterrestrial spacecraft. The incident has been a subject of conspiracy theories ever since, with some believing that the military has been covering up the truth. While the exact nature of the crash remains a mystery, it is widely accepted that something unusual happened in Roswell in 1947.",Change active to passive OR passive to active,1
What object crashed during the Roswell incident?,"The exact nature of the object that crashed during the Roswell incident has never been officially confirmed, but it is widely believed to have been an extraterrestrial spacecraft.",What article plummeted during the Roswell incident?,The stock of the Mac Brazel ranch plummeted during the Roswell incident because it was the site of the supposed UFO crash.,Use synonyms,1
What object crashed during the Roswell incident?,"It is widely speculated, but not confirmed, that the object which crashed near Roswell, New Mexico in 1947 was an extraterrestrial flying saucer.","During the Roswell incident, an object crashed.","It is unknown what the object was as the US military has only said that it was an object of unknown origin. Some people believe that it was an alien spacecraft that crashed, while others believe it was a secret US military aircraft. No one knows the truth of what happened.",Change the structure of a sentence,1
What object crashed during the Roswell incident?,"There is no concrete evidence about what crashed during the Roswell incident. Some people believe it was an extraterrestrial spacecraft, while others believe it was a weather balloon, a US military experimental aircraft, or something else.","Although we don't know what crashed during the Roswell incident, it was an object.","Many people believe that it was an extraterrestrial craft, but this has never been proven. The military and the government have officially commented that the incident involved a U.S. Air Force balloon, and that the debris was from a military weather balloon. There have been multiple theories suggested as to what really crashed that day, but the actual answer remains a mystery.",Change conjunctions,1
What is the composition of the trails left in the sky by aircraft?,"The trails left in the sky by aircraft are known as contrails, and they are made up of water vapor. The vapor is created by the hot exhaust from the engines, which condenses into tiny droplets or ice crystals in cold, humid air. This forms a visible cloud-like trail in the sky.",Why can nothing be said about the composition of the trails left in the sky by aircraft?,"It is difficult to say anything definitive about the composition of trails left in the sky by aircraft as the exact composition of these trails can vary significantly depending on a variety of factors, such as the type of aircraft, the altitude of the aircraft, the temperatures and humidity of the atmosphere, and the type of fuel used.",Verbs- positive to negative (or vice versa),1
What is the composition of the trails left in the sky by aircraft?,"The trails left in the sky by aircraft are made up of tiny droplets of water, ice crystals, and chemicals such as sulfur dioxide and carbon dioxide. These trails can form artificially by aircraft engines and naturally when the air is humid and cold.",What is the makeup of the tracks left in the sky by aircraft?,"The trails left by aircraft in the sky are composed of water droplets, ice crystals, and other particles of condensation expelled from the aircraft’s exhaust. The exhaust contains nitrogen oxides, sulfur dioxide, carbon dioxide, and traces of other elements and compounds that are released into the atmosphere. These particles react with the atmosphere and sunlight to form a white condensation trail, commonly known as a ""contrail.""",Use synonyms,1
What is the composition of the trails left in the sky by aircraft?,"Aircraft trails in the sky are composed of tiny particles of frozen water, carbon dioxide, and other trace chemicals, such as sulfuric acid, carbon monoxide, nitrogen oxides, and metal particles. The combination of these particles forms distinct condensation trails (contrails) behind the aircraft.",What are the constituents of the trails left in the sky by aircraft?,"The trails left in the sky by aircraft are made up of ice particles, exhaust gases, and particles of soot, fuel particles, and other materials released from the exhaust of the aircraft. The mix of particles, their concentration and size, will depend upon the type of aircraft, the altitude at which it is flying, the humidity and temperature of the air, and the type of fuel used.",Change word forms (parts of speech),1
What is the composition of the trails left in the sky by aircraft?,"The trails left in the sky by aircraft are composed of condensation and exhaust, which typically contains water vapor, carbon dioxide, nitrogen oxide and other exhaust particles such as sulfur, soot and metal particles. These particles react with the atmosphere to form tiny ice crystals that create the white trails visible in the sky.",The composition of the trails left in the sky by aircraft is what?,"The trails left in the sky by aircraft are composed of condensation trails (contrails) made up of water vapor, soot, and other particles that form when hot exhaust gases from engines combine with the cold atmosphere. They often form into cirrus clouds.",Change the structure of a sentence,1
What is the composition of the trails left in the sky by aircraft?,"The trails left in the sky by aircraft are called contrails. Contrails are composed of water vapor and manmade pollutants such as carbon dioxide, sulfur dioxide, and nitrogen oxides. Trace amounts of metal compounds, dust, and soot from the exhaust of the aircraft can also be found in contrails.","Despite wanting to know what the composition of the trails left in the sky by aircraft is, I was not able to find out.","There is no specific answer as the chemical composition of contrails varies according to the aircraft, the altitude, and the temperature of the atmosphere. However, it is known that the main components of contrails are water vapour, carbon dioxide, nitric oxide, soot and sulphur dioxide.",Change conjunctions,1
What personality do Libras have?,"Libras are generally known for their diplomatic and balanced approach to life. They are kind, cooperative, and pleasant. They are known to be able to see both sides of a situation and often tend to be the mediators in difficult conversations. They are also known for their love of beauty, art, and culture. They enjoy socializing and spending time with family and friends. Surprisingly, they are also quite analytical and decisive when making decisions.",What kind of personality could be attributed to Libras?,"Libras are often known for their diplomatic and gracious nature, as well as their love of harmony and justice. They are highly social and value relationships, and are often very good communicators, able to talk their way out of (or into!) any situation. They are also often creative, analytical thinkers, and enjoy intellectual stimulation. Above all, they strive for balance, both in their own lives and the world around them.",Change active to passive OR passive to active,1
What personality do Libras have?,"Libras are typically known for having a pleasant nature and being diplomatic and gracious. They are charming, amusing, and socially engaged. They love harmony and balance, and crave peace and beauty. Libras can be very analytical and logical, but also often appreciate conversations that include some emotion. They are often highly intuitive, and enjoy connecting with people on a deep level.",What kind of personality do Libras possess?,"Libras are people-oriented and have a strong sense of justice and fairness. They are peace-loving, diplomatic, and strive for balance in all areas of life. They are social, cooperative, gracious, fair-minded, and have great ability for mediation and problem-solving. They are also creative and analytical, often seeing both sides of a situation. They are natural charmers, good with words, and can be very persuasive.",Change word forms (parts of speech),1
What happens if you smash a mirror?,"If you smash a mirror, it is said to bring you 7 years of bad luck.",What occurs if you break a mirror?,"Stories of bad luck associated with breaking a mirror date back to the time of ancient Romans and Greeks, so the potential downside of this action is believed to extend far beyond the damage caused to the glass. It was believed that breaking a mirror brought seven years of bad luck, and some people avoid this superstition by calling for the release of the seven years of bad luck if one accidentally breaks a mirror.",Change word forms (parts of speech),1
What happens if you smash a mirror?,"Smashing a mirror is said to bring seven years of bad luck. It is thought to be an old superstition, though the origin of the belief is not clear.",What happens if one smashes a mirror?,"Smashing a mirror is said to bring seven years of bad luck. This superstition comes from ancient beliefs that a broken mirror reflects a broken soul, and that the seven years of bad luck relates to the seven-year growth cycle of cells in the human body.",Use pronouns,1
What happens if you smash a mirror?,"When a mirror is smashed, it is thought to bring about seven years of bad luck. This superstition is believed to have originated from ancient Greece and Rome, when it was believed that a person's soul was reflected in a mirror and if it was broken, the soul would be damaged.","If you smash a mirror, you'll have seven years of bad luck.","The superstition originates from ancient Romans, who believed that breaking a mirror would bring a broken life for the next seven years. It is said that the reflection in the mirror is an image of the soul, so damaging it will lead to misfortune for the next seven years.",Use idioms,1
What happens if you walk under a ladder?,"A superstition says that walking under a ladder brings bad luck. Some believe that this superstition originated from the fact that a ladder leaning against a wall forms a triangle, and breaking this triangle is said to be disrespectful to the Holy Trinity. However, walking under a ladder is simply considered bad luck to some and nothing will happen if you do so.","If a ladder is walked under, what happens?",Nothing typically happens if someone walks under a ladder. It is often said to bring bad luck but there is no scientific evidence or basis to back this up.,Change active to passive OR passive to active,1
What happens if you walk under a ladder?,"It is considered bad luck to walk under a ladder. According to superstition, it is believed that doing so will bring bad luck, and is seen as a sign of things going wrong.",What transpires if you traverse beneath a ladder?,"It is generally considered to be bad luck to walk under a ladder. It is not known why this superstition exists, but many cultures avoid this action for fear of inviting bad luck or misfortune.",Use synonyms,1
What happens if you walk under a ladder?,"Walking under a ladder is considered to be extremely unlucky, as it is believed to bring bad luck, illness, or even death. It is considered a superstition and there is no scientific evidence to back up any of these claims.",What occurs if you traverse under a ladder?,"If you traverse under a ladder, it is considered a bad omen in many cultures. The superstition is that you are walking through a so-called “ladder of bad luck” and will receive bad luck or misfortune.",Change word forms (parts of speech),1
What happens if you walk under a ladder?,"It is considered bad luck to walk under a ladder. According to superstition, walking under a ladder can cause bad luck or bring misfortune upon a person.","If you walk under a ladder, then what occurs?","Walking under a ladder is considered bad luck. It is believed that if you walk under a ladder, you will be cursed with bad luck for some time and can potentially bring bad luck to your home.",Change the structure of a sentence,1
What happens if you walk under a ladder?,"It is said that walking under a ladder brings bad luck. However, it is unlikely that any real harm will come from it.","Although you shouldn't, what happens if one walks under a ladder?","If one walks under a ladder, it is said to bring bad luck.",Change conjunctions,1
What happens if you walk under a ladder?,"The superstition is that if you walk under a ladder, it will bring bad luck. The superstition dates back to ancient time and has been linked to the idea that a ladder forms a triangle with a wall and the ground and going through this triangle or breaking it is believed to bring bad luck.","If you walk under a ladder, it's bad luck.","It is said that walking under a ladder is bad luck because it disrupts the triangle of success. The belief is that each side of the ladder represents one side of a triangle, and the space between the sides of the ladder and the wall makes up the third side. So, by walking through that space, you are disrupting the triangle, thus disrupting good luck.",Use idioms,1
What happens if you cross paths with a black cat?,Crossing paths with a black cat is considered to have a different meaning depending on the culture and region. In some cultures it is considered lucky while in others it is seen as an omen of bad luck.,What occurs if you intersect paths with a black cat?,"The answer depends on the individual cat. In some cultures, crossing paths with a black cat is seen as a sign of good luck while in others it is seen as a sign of bad luck or bad omen.",Verbs- positive to negative (or vice versa),1
